Capacity/Spec,total_qty,total_value,shipments
750ML,2012163.41,549139283.51,367
600ML,913264.8,103884698.19,60
650ML,418849.14,170491353.59,93
1000ML,306199.0,57862930.98,25
900ML,125608.8,61781075.410000004,21
750 ML,42553.2,22003275.26,17
16CM,39897.0,7933670.65,10
500ML,30761.7,20553445.44,13
730ML,24847.4,4161411.7399999998,3
850ML,19188.0,1381489.37,1
1000 ML,13709.0,5270284.95,4
900 ML,13700.0,7603087.1,2
650 ML,7648.0,4157166.96,1
800ML,7286.5,4115347.1799999997,5
600 ML,6825.0,3984977.66,1
420ML,300.0,20380.09,1
700ML,130.0,78848.68,1
450ML,108.0,77271.87,1
1200ML,66.0,53721.66,1
680ML,60.0,48724.18,1
